Run 2: Cruise Speed | V-infity: 135.833 m/s | p = 0.7708kg/m^3 | a = 2.1| max-drag = 7759.1N

:thickness , 12.61 , :generation , 262286 , :positon-camber , 6.739262601468406 , :CD-Induced , 0.055682481492418494 , :Lift , 162288.36203039117 , :corrected-thickness , 0.1261 , :score , 162288.36203039117 , :cl-2D , 0.40525551950944527 , :Drag , 9332.30979224033 , :corrected-position-camber , 0.6739262601468405 , :corrected-max-camber , 0.011000000000000001 , :max-camber , 1.1 , :CL-3D , 0.9683153384712943 , 
:thickness , 15.39 , :generation , 235485 , :positon-camber , 7.81322187005385 , :CD-Induced , 0.05568060881486282 , :Lift , 162285.63301831883 , :corrected-thickness , 0.1539 , :score , 162285.63301831883 , :cl-2D , 0.40525196100146144 , :Drag , 9331.995933974282 , :corrected-position-camber , 0.781322187005385 , :corrected-max-camber , 0.0088 , :max-camber , 0.88 , :CL-3D , 0.9682990554537355 , 
:thickness , 9.81 , :generation , 40908 , :positon-camber , 4.334767392774679 , :CD-Induced , 0.05566964702183024 , :Lift , 162269.65771630203 , :corrected-thickness , 0.0981 , :score , 162269.65771630203 , :cl-2D , 0.4052311299320984 , :Drag , 9330.158752050691 , :corrected-position-camber , 0.4334767392774679 , :corrected-max-camber , 0.0149 , :max-camber , 1.49 , :CL-3D , 0.9682037366657087 , 
:thickness , 9.31 , :generation , 13516 , :positon-camber , 5.811644954341009 , :CD-Induced , 0.05559881845640232 , :Lift , 162166.39691122386 , :corrected-thickness , 0.0931 , :score , 162166.39691122386 , :cl-2D , 0.4050964825250699 , :Drag , 9318.28797874826 , :corrected-position-camber , 0.5811644954341009 , :corrected-max-camber , 0.0126 , :max-camber , 1.26 , :CL-3D , 0.9675876171845018 , 
:thickness , 17.48 , :generation , 3846 , :positon-camber , 3.2268206370253734 , :CD-Induced , 0.05535475669832587 , :Lift , 161810.07507632408 , :corrected-thickness , 0.1748 , :score , 161810.07507632408 , :cl-2D , 0.4046318550112657 , :Drag , 9277.383552908 , :corrected-position-camber , 0.3226820637025373 , :corrected-max-camber , 0.0163 , :max-camber , 1.63 , :CL-3D , 0.9654615750342886 , 
:thickness , 22.3 , :generation , 2317 , :positon-camber , 5.16 , :CD-Induced , 0.05529046605081557 , :Lift , 161716.0822794291 , :corrected-thickness , 0.223 , :score , 161716.0822794291 , :cl-2D , 0.4045092926666114 , :Drag , 9266.608525947475 , :corrected-position-camber , 0.516 , :corrected-max-camber , 0.013600000000000001 , :max-camber , 1.36 , :CL-3D , 0.9649007543703756 , 
:thickness , 28.24 , :generation , 139 , :positon-camber , 3.76 , :CD-Induced , 0.05348106484101661 , :Lift , 159047.96221945397 , :corrected-thickness , 0.2824 , :score , 159047.96221945397 , :cl-2D , 0.4010301851054757 , :Drag , 8963.355291254666 , :corrected-position-camber , 0.376 , :corrected-max-camber , 0.015300000000000001 , :max-camber , 1.53 , :CL-3D , 0.9489810571928722 , 
:thickness , 25.0 , :generation , 136 , :positon-camber , 8.29 , :CD-Induced , 0.05020376889730448 , :Lift , 154097.73209910066 , :corrected-thickness , 0.25 , :score , 154097.73209910066 , :cl-2D , 0.3945753095174396 , :Drag , 8414.084852728349 , :corrected-position-camber , 0.829 , :corrected-max-camber , 0.0072 , :max-camber , 0.72 , :CL-3D , 0.9194448434155521 , 
:thickness , 17.2 , :generation , 41 , :positon-camber , 2.6427051426565127 , :CD-Induced , 0.04229744533715043 , :Lift , 141444.2037514971 , :corrected-thickness , 0.172 , :score , 141444.2037514971 , :cl-2D , 0.37807568237937056 , :Drag , 7088.995546299141 , :corrected-position-camber , 0.2642705142656513 , :corrected-max-camber , 0.0144 , :max-camber , 1.44 , :CL-3D , 0.8439458647366539 , 
:thickness , 10.83 , :generation , 6 , :positon-camber , 3.9237740948517033 , :CD-Induced , 1.2079054958985977 , :Lift , 755865.5724648702 , :corrected-thickness , 0.10830000000000001 , :score , 0 , :cl-2D , 1.179253283672903 , :Drag , 202443.3535529522 , :corrected-position-camber , 0.3923774094851703 , :corrected-max-camber , 0.084 , :max-camber , 8.4 , :CL-3D , 4.509973595660889 , 

