Run 2: Max Speed| V-infity: 163.17m/s| p = 0.6805kg/m^3| a = 2.1| max-drag = 7759.1N

:thickness , 28.16 , :generation , 2172378 , :positon-camber , 3.51 , :CD-Induced , 0.036384692360252435 , :Lift , 167133.3388050741 , :corrected-thickness , 0.2816 , :score , 167133.3388050741 , :cl-2D , 0.36469943008100425 , :Drag , 7768.99643455566 , :corrected-position-camber , 0.351 , :corrected-max-camber , 0.0123 , :max-camber , 1.23 , :CL-3D , 0.7827388217757966 , 
:thickness , 21.23 , :generation , 230091 , :positon-camber , 3.32 , :CD-Induced , 0.03638466742461729 , :Lift , 167133.28153405708 , :corrected-thickness , 0.21230000000000002 , :score , 167133.28153405708 , :cl-2D , 0.36469937146425446 , :Drag , 7768.991110205005 , :corrected-position-camber , 0.33199999999999996 , :corrected-max-camber , 0.0125 , :max-camber , 1.25 , :CL-3D , 0.7827385535573268 , 
:thickness , 29.84 , :generation , 196354 , :positon-camber , 4.57 , :CD-Induced , 0.036370834379360034 , :Lift , 167101.5074077771 , :corrected-thickness , 0.2984 , :score , 167101.5074077771 , :cl-2D , 0.3646668507215296 , :Drag , 7766.037426325572 , :corrected-position-camber , 0.457 , :corrected-max-camber , 0.011200000000000002 , :max-camber , 1.12 , :CL-3D , 0.7825897451726852 , 
:thickness , 21.36 , :generation , 62013 , :positon-camber , 5.8 , :CD-Induced , 0.03636645798293604 , :Lift , 167091.4536868199 , :corrected-thickness , 0.21359999999999998 , :score , 167091.4536868199 , :cl-2D , 0.36465656076202624 , :Drag , 7765.102961691996 , :corrected-position-camber , 0.58 , :corrected-max-camber , 0.0097 , :max-camber , 0.97 , :CL-3D , 0.7825426603854564 , 
:thickness , 28.8 , :generation , 20898 , :positon-camber , 3.72 , :CD-Induced , 0.03635667887636473 , :Lift , 167068.98634897586 , :corrected-thickness , 0.28800000000000003 , :score , 167068.98634897586 , :cl-2D , 0.3646335654951446 , :Drag , 7763.014890056444 , :corrected-position-camber , 0.372 , :corrected-max-camber , 0.0121 , :max-camber , 1.21 , :CL-3D , 0.7824374386644146 , 
:thickness , 31.47 , :generation , 10003 , :positon-camber , 4.89 , :CD-Induced , 0.036340932475317715 , :Lift , 167032.80289859898 , :corrected-thickness , 0.3147 , :score , 167032.80289859898 , :cl-2D , 0.36459653181968693 , :Drag , 7759.652659248498 , :corrected-position-camber , 0.489 , :corrected-max-camber , 0.0108 , :max-camber , 1.08 , :CL-3D , 0.782267980006326 , 
:thickness , 29.48 , :generation , 3457 , :positon-camber , 8.95 , :CD-Induced , 0.03627193630092628 , :Lift , 166874.1649810044 , :corrected-thickness , 0.2948 , :score , 166874.1649810044 , :cl-2D , 0.36443416628808933 , :Drag , 7744.920336448083 , :corrected-position-camber , 0.8949999999999999 , :corrected-max-camber , 0.0045000000000000005 , :max-camber , 0.45 , :CL-3D , 0.7815250279562163 , 
:thickness , 20.65 , :generation , 3425 , :positon-camber , 7.21 , :CD-Induced , 0.03613929384948125 , :Lift , 166568.76535785655 , :corrected-thickness , 0.2065 , :score , 166568.76535785655 , :cl-2D , 0.3641215904996902 , :Drag , 7716.598021059403 , :corrected-position-camber , 0.721 , :corrected-max-camber , 0.0077 , :max-camber , 0.77 , :CL-3D , 0.7800947439512258 , 
:thickness , 28.25 , :generation , 1350 , :positon-camber , 4.75 , :CD-Induced , 0.03586755494425113 , :Lift , 165941.35103391772 , :corrected-thickness , 0.2825 , :score , 165941.35103391772 , :cl-2D , 0.363479433430416 , :Drag , 7658.575307414882 , :corrected-position-camber , 0.475 , :corrected-max-camber , 0.0109 , :max-camber , 1.09 , :CL-3D , 0.7771563622244185 , 
:thickness , 27.49 , :generation , 166 , :positon-camber , 6.64 , :CD-Induced , 0.03460530823882916 , :Lift , 162995.30558139112 , :corrected-thickness , 0.2749 , :score , 162995.30558139112 , :cl-2D , 0.3604641629120981 , :Drag , 7389.055640823839 , :corrected-position-camber , 0.6639999999999999 , :corrected-max-camber , 0.0083 , :max-camber , 0.83 , :CL-3D , 0.7633590901607158 , 
:thickness , 23.67 , :generation , 42 , :positon-camber , 3.89 , :CD-Induced , 0.022980985209885854 , :Lift , 132827.5178726644 , :corrected-thickness , 0.23670000000000002 , :score , 132827.5178726644 , :cl-2D , 0.3295875038968806 , :Drag , 4906.986443376399 , :corrected-position-camber , 0.389 , :corrected-max-camber , 0.0088 , :max-camber , 0.88 , :CL-3D , 0.6220737022450751 , 
