Run 3: Slow Speed | V-infity: 30 m/s | p = 0.7708kg/m^3 | a = 2.1| max-drag = 7759.1N

:thickness , 9.97 , :generation , 753790 , :positon-camber , 8.305663825113054 , :CD-Induced , 5.168450994853437 , :Lift , 76270.99213404134 , :corrected-thickness , 0.09970000000000001 , :score , 76270.99213404134 , :cl-2D , 2.232420783364497 , :Drag , 42255.38631513923 , :corrected-position-camber , 0.8305663825113054 , :corrected-max-camber , 0.0873 , :max-camber , 8.73 , :CL-3D , 9.329056471846995 , 
:thickness , 9.1 , :generation , 212609 , :positon-camber , 8.576118002538873 , :CD-Induced , 5.168229833639289 , :Lift , 76269.36027512507 , :corrected-thickness , 0.091 , :score , 76269.36027512507 , :cl-2D , 2.232377162528122 , :Drag , 42253.57818102883 , :corrected-position-camber , 0.8576118002538873 , :corrected-max-camber , 0.0793 , :max-camber , 7.93 , :CL-3D , 9.328856871664042 , 
:thickness , 3.09 , :generation , 203175 , :positon-camber , 8.912386854810457 , :CD-Induced , 5.16787807584728 , :Lift , 76266.76472508741 , :corrected-thickness , 0.030899999999999997 , :score , 76266.76472508741 , :cl-2D , 2.2323077814913383 , :Drag , 42250.70233652426 , :corrected-position-camber , 0.8912386854810457 , :corrected-max-camber , 0.0683 , :max-camber , 6.83 , :CL-3D , 9.328539397979759 , 
:thickness , 4.42 , :generation , 33609 , :positon-camber , 8.958337257719142 , :CD-Induced , 5.166594407346286 , :Lift , 76257.2920438068 , :corrected-thickness , 0.044199999999999996 , :score , 76257.2920438068 , :cl-2D , 2.2320545694789193 , :Drag , 42240.20752706121 , :corrected-position-camber , 0.8958337257719142 , :corrected-max-camber , 0.0667 , :max-camber , 6.67 , :CL-3D , 9.327380750686284 , 
:thickness , 8.62 , :generation , 3181 , :positon-camber , 8.299957520076383 , :CD-Induced , 5.165514899597373 , :Lift , 76249.32503191929 , :corrected-thickness , 0.0862 , :score , 76249.32503191929 , :cl-2D , 2.2318416051604504 , :Drag , 42231.38186207843 , :corrected-position-camber , 0.8299957520076383 , :corrected-max-camber , 0.0874 , :max-camber , 8.74 , :CL-3D , 9.326406268753757 , 
:thickness , 6.7 , :generation , 1104 , :positon-camber , 8.605741133772687 , :CD-Induced , 5.095267869100186 , :Lift , 75729.08416502959 , :corrected-thickness , 0.067 , :score , 75729.08416502959 , :cl-2D , 2.217935169068566 , :Drag , 41657.06754351263 , :corrected-position-camber , 0.8605741133772687 , :corrected-max-camber , 0.0779 , :max-camber , 7.79 , :CL-3D , 9.262773211278287 , 
:thickness , 7.5 , :generation , 808 , :positon-camber , 8.030748550154119 , :CD-Induced , 5.0876752806176455 , :Lift , 75672.64021107624 , :corrected-thickness , 0.075 , :score , 75672.64021107624 , :cl-2D , 2.216426379028449 , :Drag , 41594.99328571642 , :corrected-position-camber , 0.8030748550154119 , :corrected-max-camber , 0.094 , :max-camber , 9.4 , :CL-3D , 9.255869291200787 , 
:thickness , 6.48 , :generation , 149 , :positon-camber , 8.646595754851948 , :CD-Induced , 4.582091904217582 , :Lift , 71814.32655063899 , :corrected-thickness , 0.06480000000000001 , :score , 71814.32655063899 , :cl-2D , 2.11329070523547 , :Drag , 37461.52642967574 , :corrected-position-camber , 0.8646595754851948 , :corrected-max-camber , 0.0726 , :max-camber , 7.26 , :CL-3D , 8.783941169942576 , 
:thickness , 12.83 , :generation , 111 , :positon-camber , 7.876216959567314 , :CD-Induced , 3.7589755659615816 , :Lift , 65045.004142681835 , :corrected-thickness , 0.1283 , :score , 65045.004142681835 , :cl-2D , 1.932341542178714 , :Drag , 30732.02490398769 , :corrected-position-camber , 0.7876216959567314 , :corrected-max-camber , 0.08410000000000001 , :max-camber , 8.41 , :CL-3D , 7.955954156098741 , 
:thickness , 14.05 , :generation , 64 , :positon-camber , 8.642745411138275 , :CD-Induced , 3.0926281052247115 , :Lift , 58998.78166759347 , :corrected-thickness , 0.1405 , :score , 58998.78166759347 , :cl-2D , 1.7707213931315726 , :Drag , 25284.209030027378 , :corrected-position-camber , 0.8642745411138275 , :corrected-max-camber , 0.0594 , :max-camber , 5.94 , :CL-3D , 7.216412826777618 , 
:thickness , 7.41 , :generation , 48 , :positon-camber , 8.661888299094063 , :CD-Induced , 3.0049051378286813 , :Lift , 58156.00663875732 , :corrected-thickness , 0.0741 , :score , 58156.00663875732 , :cl-2D , 1.74819337231611 , :Drag , 24567.01777103688 , :corrected-position-camber , 0.8661888299094063 , :corrected-max-camber , 0.0581 , :max-camber , 5.81 , :CL-3D , 7.113329129855759 , 

