Run 2: Cruise Speed | V-infity: 135.833 m/s | p = 0.7708kg/m^3 | a = 2.1

:thickness , 15.91 , :generation , 2379025 , :positon-camber , 7.920688481763725 , :CD-Induced , 4.2097197863123155 , :Lift , 1411089.8909428208 , :corrected-thickness , 0.1591 , :score , 705546.4573273599 , :cl-2D , 2.0336360810789014 , :Drag , 705543.4336154609 , :corrected-position-camber , 0.7920688481763725 , :corrected-max-camber , 0.08810000000000001 , :max-camber , 8.81 , :CL-3D , 8.41945761400834 , 
:thickness , 12.96 , :generation , 2353439 , :positon-camber , 8.148354051548127 , :CD-Induced , 4.209688925042632 , :Lift , 1411084.718614531 , :corrected-thickness , 0.12960000000000002 , :score , 705546.457306797 , :cl-2D , 2.0336293365973725 , :Drag , 705538.261307734 , :corrected-position-camber , 0.8148354051548127 , :corrected-max-camber , 0.08259999999999999 , :max-camber , 8.26 , :CL-3D , 8.419426752615966 , 
:thickness , 21.62 , :generation , 2217896 , :positon-camber , 7.72 , :CD-Induced , 4.20979497958395 , :Lift , 1411102.4932058046 , :corrected-thickness , 0.2162 , :score , 705546.4572980899 , :cl-2D , 2.03365251385833 , :Drag , 705556.0359077147 , :corrected-position-camber , 0.772 , :corrected-max-camber , 0.09269999999999999 , :max-camber , 9.27 , :CL-3D , 8.419532807105332 , 
:thickness , 18.36 , :generation , 2171200 , :positon-camber , 8.915066579519848 , :CD-Induced , 4.2096778680066915 , :Lift , 1411082.8654580424 , :corrected-thickness , 0.18359999999999999 , :score , 705546.4572948165 , :cl-2D , 2.0336269201653505 , :Drag , 705536.4081632259 , :corrected-position-camber , 0.8915066579519848 , :corrected-max-camber , 0.061500000000000006 , :max-camber , 6.15 , :CL-3D , 8.419415695508542 , 
:thickness , 8.62 , :generation , 1406142 , :positon-camber , 8.199957520076381 , :CD-Induced , 4.209828610428267 , :Lift , 1411108.1296410365 , :corrected-thickness , 0.0862 , :score , 705546.4572485725 , :cl-2D , 2.033659863514265 , :Drag , 705561.672392464 , :corrected-position-camber , 0.8199957520076382 , :corrected-max-camber , 0.0814 , :max-camber , 8.14 , :CL-3D , 8.419566437654197 , 
:thickness , 0.7300000000000003 , :generation , 1075406 , :positon-camber , 7.952861603035644 , :CD-Induced , 4.2096465858873815 , :Lift , 1411077.6225694008 , :corrected-thickness , 0.0073000000000000035 , :score , 705546.4572477391 , :cl-2D , 2.0336200836763227 , :Drag , 705531.1653216617 , :corrected-position-camber , 0.7952861603035644 , :corrected-max-camber , 0.0873 , :max-camber , 8.73 , :CL-3D , 8.419384413108338 , 
:thickness , 10.07 , :generation , 492685 , :positon-camber , 8.93889576722823 , :CD-Induced , 4.209946523329152 , :Lift , 1411127.8913348434 , :corrected-thickness , 0.1007 , :score , 705546.4568971172 , :cl-2D , 2.0336856318668124 , :Drag , 705581.4344377262 , :corrected-position-camber , 0.893889576722823 , :corrected-max-camber , 0.060700000000000004 , :max-camber , 6.07 , :CL-3D , 8.419684348458077 , 
:thickness , 5.72 , :generation , 161184 , :positon-camber , 7.76537491288992 , :CD-Induced , 4.2094146708874565 , :Lift , 1411038.752967483 , :corrected-thickness , 0.0572 , :score , 705546.4562911609 , :cl-2D , 2.0335693994781265 , :Drag , 705492.296676322 , :corrected-position-camber , 0.776537491288992 , :corrected-max-camber , 0.09179999999999999 , :max-camber , 9.18 , :CL-3D , 8.419152492400862 , 
:thickness , 0.92 , :generation , 19583 , :positon-camber , 7.964931570028212 , :CD-Induced , 4.207511207933629 , :Lift , 1410719.6867905478 , :corrected-thickness , 0.0092 , :score , 705546.4079720344 , :cl-2D , 2.0331533516527944 , :Drag , 705173.2788185134 , :corrected-position-camber , 0.7964931570028212 , :corrected-max-camber , 0.08689999999999999 , :max-camber , 8.69 , :CL-3D , 8.417248741144466 , 
:thickness , 5.97 , :generation , 3961 , :positon-camber , 8.764671495141217 , :CD-Induced , 4.201438770576182 , :Lift , 1409701.3175442643 , :corrected-thickness , 0.059699999999999996 , :score , 705545.7711452619 , :cl-2D , 2.0318254443378567 , :Drag , 704155.5463990023 , :corrected-position-camber , 0.8764671495141216 , :corrected-max-camber , 0.0659 , :max-camber , 6.59 , :CL-3D , 8.411172504074434 , 
:thickness , 8.309999999999997 , :generation , 769 , :positon-camber , 8.83530422576347 , :CD-Induced , 4.161933571668129 , :Lift , 1403058.109760028 , :corrected-thickness , 0.08309999999999997 , :score , 705523.5821219124 , :cl-2D , 2.0231630026512755 , :Drag , 697534.5276381157 , :corrected-position-camber , 0.8835304225763471 , :corrected-max-camber , 0.0635 , :max-camber , 6.35 , :CL-3D , 8.37153491137433 , 
:thickness , 17.08 , :generation , 466 , :positon-camber , 8.95554400638656 , :CD-Induced , 4.055526545906909 , :Lift , 1385006.1775826 , :corrected-thickness , 0.17079999999999998 , :score , 705305.3258486339 , :cl-2D , 1.9996241017323326 , :Drag , 679700.851733966 , :corrected-position-camber , 0.895554400638656 , :corrected-max-camber , 0.0591 , :max-camber , 5.91 , :CL-3D , 8.263825630204963 , 
:thickness , 22.49 , :generation , 402 , :positon-camber , 8.67 , :CD-Induced , 4.379900986816285 , :Lift , 1439329.5200601446 , :corrected-thickness , 0.2249 , :score , 705263.9437284932 , :cl-2D , 2.070459276803709 , :Drag , 734065.5763316514 , :corrected-position-camber , 0.867 , :corrected-max-camber , 0.0702 , :max-camber , 7.02 , :CL-3D , 8.587953159128974 , 
:thickness , 26.03 , :generation , 383 , :positon-camber , 8.2 , :CD-Induced , 4.037601906388419 , :Lift , 1381942.059002163 , :corrected-thickness , 0.26030000000000003 , :score , 705245.3529962129 , :cl-2D , 1.9956286300587252 , :Drag , 676696.70600595 , :corrected-position-camber , 0.82 , :corrected-max-camber , 0.0796 , :max-camber , 7.96 , :CL-3D , 8.24554315459666 , 
:thickness , 20.81 , :generation , 252 , :positon-camber , 8.95 , :CD-Induced , 4.744675970245002 , :Lift , 1498067.4419722552 , :corrected-thickness , 0.20809999999999998 , :score , 702866.0638843618 , :cl-2D , 2.1470508632601764 , :Drag , 795201.3780878935 , :corrected-position-camber , 0.8949999999999999 , :corrected-max-camber , 0.0643 , :max-camber , 6.43 , :CL-3D , 8.938420869973049 , 
:thickness , 27.94 , :generation , 206 , :positon-camber , 7.45 , :CD-Induced , 3.6592369463695142 , :Lift , 1315598.4477286378 , :corrected-thickness , 0.27940000000000004 , :score , 702315.2054690156 , :cl-2D , 1.9091195695867915 , :Drag , 613283.2422596222 , :corrected-position-camber , 0.745 , :corrected-max-camber , 0.0919 , :max-camber , 9.19 , :CL-3D , 7.8496950752765855 , 
:thickness , 26.88 , :generation , 119 , :positon-camber , 8.91 , :CD-Induced , 4.850070906480519 , :Lift , 1514614.5698656898 , :corrected-thickness , 0.2688 , :score , 701749.1407311994 , :cl-2D , 2.168627567634441 , :Drag , 812865.4291344904 , :corrected-position-camber , 0.891 , :corrected-max-camber , 0.0663 , :max-camber , 6.63 , :CL-3D , 9.037151533998474 , 
:thickness , 35.71 , :generation , 71 , :positon-camber , 8.84 , :CD-Induced , 3.314151874440309 , :Lift , 1252028.715279052 , :corrected-thickness , 0.35710000000000003 , :score , 696581.2718129761 , :cl-2D , 1.8262275213081292 , :Drag , 555447.4434660759 , :corrected-position-camber , 0.884 , :corrected-max-camber , 0.0564 , :max-camber , 5.64 , :CL-3D , 7.470397717022868 , 
:thickness , 34.74 , :generation , 10 , :positon-camber , 7.03 , :CD-Induced , 3.2137107877477935 , :Lift , 1232910.302236121 , :corrected-thickness , 0.34740000000000004 , :score , 694296.6512261417 , :cl-2D , 1.801297977704609 , :Drag , 538613.6510099792 , :corrected-position-camber , 0.7030000000000001 , :corrected-max-camber , 0.0935 , :max-camber , 9.35 , :CL-3D , 7.356325134336791 , 
