Run 3: Max Speed| V-infity: 163.17m/s| p = 0.6805kg/m^3| a = 2.1

:thickness , 13.47 , :generation , 229061 , :positon-camber , 4.197354708909943 , :CD-Induced , 1.052424226498635 , :Lift , 898874.6940437211 , :corrected-thickness , 0.13470000000000001 , :score , 449439.5314565079 , :cl-2D , 1.113634967919635 , :Drag , 224717.58129360658 , :corrected-position-camber , 0.4197354708909943 , :corrected-max-camber , 0.07629999999999999 , :max-camber , 7.63 , :CL-3D , 4.209717366805224 , 
:thickness , 17.88 , :generation , 6606 , :positon-camber , 2.560210152632676 , :CD-Induced , 1.0524717574309443 , :Lift , 898894.9918802681 , :corrected-thickness , 0.1788 , :score , 449439.53132598754 , :cl-2D , 1.1136557427070954 , :Drag , 224727.73027714028 , :corrected-position-camber , 0.2560210152632676 , :corrected-max-camber , 0.0867 , :max-camber , 8.67 , :CL-3D , 4.209812428058574 , 
:thickness , 8.519999999999994 , :generation , 2803 , :positon-camber , 2.1786403799639014 , :CD-Induced , 1.05204119476417 , :Lift , 898711.105608046 , :corrected-thickness , 0.08519999999999994 , :score , 449439.5157755462 , :cl-2D , 1.1134675355445487 , :Drag , 224635.79491624993 , :corrected-position-camber , 0.21786403799639015 , :corrected-max-camber , 0.0886 , :max-camber , 8.86 , :CL-3D , 4.20895122989734 , 
:thickness , 10.249999999999995 , :generation , 1468 , :positon-camber , 1.2230460424180816 , :CD-Induced , 1.0538876057432185 , :Lift , 899499.4124778032 , :corrected-thickness , 0.10249999999999995 , :score , 449439.31740409235 , :cl-2D , 1.1142743657520486 , :Drag , 225030.04753685542 , :corrected-position-camber , 0.12230460424180815 , :corrected-max-camber , 0.0932 , :max-camber , 9.32 , :CL-3D , 4.212643122818544 , 
:thickness , 16.829999999999995 , :generation , 1381 , :positon-camber , 5.609569061635364 , :CD-Induced , 1.0507721736816615 , :Lift , 898168.9084586406 , :corrected-thickness , 0.16829999999999995 , :score , 449439.2509403 , :cl-2D , 1.1129125980508598 , :Drag , 224364.82875917028 , :corrected-position-camber , 0.5609569061635364 , :corrected-max-camber , 0.0653 , :max-camber , 6.53 , :CL-3D , 4.206411947424256 , 
:thickness , 19.179999999999996 , :generation , 197 , :positon-camber , 6.188318190170054 , :CD-Induced , 1.0384016398769327 , :Lift , 892866.2727184325 , :corrected-thickness , 0.19179999999999997 , :score , 449419.4210609148 , :cl-2D , 1.1074853629743895 , :Drag , 221723.42582875883 , :corrected-position-camber , 0.6188318190170053 , :corrected-max-camber , 0.0601 , :max-camber , 6.01 , :CL-3D , 4.18157801015434 , 
:thickness , 27.99 , :generation , 140 , :positon-camber , 2.86 , :CD-Induced , 1.0702189171241914 , :Lift , 906442.0558948003 , :corrected-thickness , 0.2799 , :score , 449407.7146939462 , :cl-2D , 1.1213801447876406 , :Drag , 228517.17060042708 , :corrected-position-camber , 0.286 , :corrected-max-camber , 0.08560000000000001 , :max-camber , 8.56 , :CL-3D , 4.245157739992366 , 
:thickness , 31.98 , :generation , 111 , :positon-camber , 5.17 , :CD-Induced , 1.0861363575620375 , :Lift , 913157.9644091018 , :corrected-thickness , 0.31980000000000003 , :score , 449326.1196435908 , :cl-2D , 1.1282538611892414 , :Drag , 231915.92238275547 , :corrected-position-camber , 0.517 , :corrected-max-camber , 0.0701 , :max-camber , 7.01 , :CL-3D , 4.276610485179066 , 
:thickness , 34.44 , :generation , 110 , :positon-camber , 3.77 , :CD-Induced , 1.0877073575869431 , :Lift , 913818.1268300683 , :corrected-thickness , 0.3444 , :score , 449315.39039004035 , :cl-2D , 1.1289295358579856 , :Drag , 232251.36822001397 , :corrected-position-camber , 0.377 , :corrected-max-camber , 0.0806 , :max-camber , 8.06 , :CL-3D , 4.279702236706693 , 
:thickness , 27.57 , :generation , 108 , :positon-camber , 3.4 , :CD-Induced , 1.0034085592710953 , :Lift , 877693.0030201197 , :corrected-thickness , 0.2757 , :score , 449189.8598743639 , :cl-2D , 1.0919555575029327 , :Drag , 214251.57157287793 , :corrected-position-camber , 0.33999999999999997 , :corrected-max-camber , 0.0794 , :max-camber , 7.94 , :CL-3D , 4.1105167405653 , 
:thickness , 29.14 , :generation , 85 , :positon-camber , 3.23 , :CD-Induced , 1.1330090191455398 , :Lift , 932653.7032705202 , :corrected-thickness , 0.2914 , :score , 448805.00432277226 , :cl-2D , 1.1482077035752247 , :Drag , 241924.34947387397 , :corrected-position-camber , 0.323 , :corrected-max-camber , 0.0858 , :max-camber , 8.58 , :CL-3D , 4.36791525881153 , 
