Run 1: Slow Speed | V-infity: 30 m/s | p = 0.7708kg/m^3 | a = 2.1

:thickness , 14.770000000000005 , :generation , 2013767 , :positon-camber , 6.299755436920077 , :CD-Induced , 0.6760648997600803 , :Lift , 27585.025428338588 , :corrected-thickness , 0.14770000000000005 , :score , 994472.7378586129 , :cl-2D , 0.9310076732945042 , :Drag , 5527.262141387136 , :corrected-position-camber , 0.6299755436920077 , :corrected-max-camber , 0.0472 , :max-camber , 4.72 , :CL-3D , 3.3740515600746828 , 
:thickness , 15.850000000000005 , :generation , 892267 , :positon-camber , 2.4581062517763623 , :CD-Induced , 0.6760659225228155 , :Lift , 27585.04629388374 , :corrected-thickness , 0.15850000000000006 , :score , 994472.7294968746 , :cl-2D , 0.9310082310464778 , :Drag , 5527.270503125405 , :corrected-position-camber , 0.24581062517763624 , :corrected-max-camber , 0.0691 , :max-camber , 6.91 , :CL-3D , 3.37405411223565 , 
:thickness , 17.180000000000003 , :generation , 243826 , :positon-camber , 2.2581650810804685 , :CD-Induced , 0.6760673928540858 , :Lift , 27585.07629031808 , :corrected-thickness , 0.17180000000000004 , :score , 994472.7174759778 , :cl-2D , 0.9310090328740996 , :Drag , 5527.282524022169 , :corrected-position-camber , 0.22581650810804685 , :corrected-max-camber , 0.07 , :max-camber , 7.0 , :CL-3D , 3.374057781237745 , 
:thickness , 26.590000000000003 , :generation , 73935 , :positon-camber , 3.43 , :CD-Induced , 0.6761043126070402 , :Lift , 27585.829484680762 , :corrected-thickness , 0.2659 , :score , 994472.4156334286 , :cl-2D , 0.931029166335225 , :Drag , 5527.584366571378 , :corrected-position-camber , 0.343 , :corrected-max-camber , 0.0645 , :max-camber , 6.45 , :CL-3D , 3.37414990791064 , 
:thickness , 34.45 , :generation , 4213 , :positon-camber , 5.14 , :CD-Induced , 0.6765551782626382 , :Lift , 27595.025869057055 , :corrected-thickness , 0.34450000000000003 , :score , 994468.7295188708 , :cl-2D , 0.9312749927201645 , :Drag , 5531.270481129201 , :corrected-position-camber , 0.514 , :corrected-max-camber , 0.055 , :max-camber , 5.5 , :CL-3D , 3.3752747600566884 , 
:thickness , 26.16 , :generation , 3722 , :positon-camber , 2.81 , :CD-Induced , 0.6773547943010931 , :Lift , 27611.32824178331 , :corrected-thickness , 0.2616 , :score , 994462.1921472981 , :cl-2D , 0.931710767606169 , :Drag , 5537.80785270191 , :corrected-position-camber , 0.281 , :corrected-max-camber , 0.0677 , :max-camber , 6.77 , :CL-3D , 3.3772687783791597 , 
:thickness , 35.08 , :generation , 2526 , :positon-camber , 5.62 , :CD-Induced , 0.6777182133341808 , :Lift , 27618.734357983394 , :corrected-thickness , 0.3508 , :score , 994459.2209647034 , :cl-2D , 0.9319087387541132 , :Drag , 5540.779035296596 , :corrected-position-camber , 0.562 , :corrected-max-camber , 0.0519 , :max-camber , 5.19 , :CL-3D , 3.378174654575791 , 
:thickness , 28.94 , :generation , 499 , :positon-camber , 6.52 , :CD-Induced , 0.6821441779688554 , :Lift , 27708.772231509007 , :corrected-thickness , 0.2894 , :score , 994423.0358783706 , :cl-2D , 0.9343155199466765 , :Drag , 5576.964121629338 , :corrected-position-camber , 0.6519999999999999 , :corrected-max-camber , 0.045899999999999996 , :max-camber , 4.59 , :CL-3D , 3.3891876017425098 , 
:thickness , 22.47 , :generation , 137 , :positon-camber , 7.04 , :CD-Induced , 0.7018808785951143 , :Lift , 28106.76741311973 , :corrected-thickness , 0.22469999999999998 , :score , 994261.6757512495 , :cl-2D , 0.9449542354152185 , :Drag , 5738.324248750456 , :corrected-position-camber , 0.704 , :corrected-max-camber , 0.0425 , :max-camber , 4.25 , :CL-3D , 3.4378682261959614 , 
:thickness , 20.49 , :generation , 5 , :positon-camber , 5.89 , :CD-Induced , 1.4525345522294755 , :Lift , 40433.60185351413 , :corrected-thickness , 0.20489999999999997 , :score , 988124.6027675096 , :cl-2D , 1.274459943771883 , :Drag , 11875.397232490306 , :corrected-position-camber , 0.589 , :corrected-max-camber , 0.0746 , :max-camber , 7.46 , :CL-3D , 4.945620143352706 , 
:thickness , 16.89 , :generation , 3 , :positon-camber , 5.982927776848649 , :CD-Induced , 2.007114447310117 , :Lift , 47529.72076386863 , :corrected-thickness , 0.1689 , :score , 983590.5580928912 , :cl-2D , 1.464144627170995 , :Drag , 16409.4419071088 , :corrected-position-camber , 0.5982927776848649 , :corrected-max-camber , 0.08689999999999999 , :max-camber , 8.69 , :CL-3D , 5.813579143142509 , 
:thickness , 7.98 , :generation , 2 , :positon-camber , 2.32980973912248 , :CD-Induced , 0.05744433444997115 , :Lift , 8040.865456408287 , :corrected-thickness , 0.07980000000000001 , :score , 0 , :cl-2D , 0.4085773358930703 , :Drag , 469.64410540346523 , :corrected-position-camber , 0.232980973912248 , :corrected-max-camber , 0.0177 , :max-camber , 1.77 , :CL-3D , 0.9835153028234506 , 

